,,Total Grains/Cereals-Area Harvested-1000 Ha,Total Grains/Cereals-Yield-MT / Ha,Total Grains/Cereals-Production Quantity-1000 MT,"Economic Data-Gross Domestic Product, constant prices-Percent change",Economic Data-GDP (constant 2005 US$)-Million,Economic Data-Imports of goods and services (constant 2005 US$)-Million,Economic Data-Exports of goods and services (constant 2005 US$)-Million,Economic Data-WB GDP (constant 2005 US$) / FAO population-$/Person,Total Grains/Cereals-Import Quantity-1000 MT,Total Grains/Cereals-Import Value-Million US$,Total Grains/Cereals-Import Unit Value-US$ / MT,Total Grains/Cereals-Export Quantity-1000 MT,Total Grains/Cereals-Stock Variation-1000 MT,Total Grains/Cereals-Feed + Seed-1000 MT,Total Grains/Cereals-Waste + Processed + OtherUtilization-1000 MT,Total Grains/Cereals-Food Availability-1000 MT,Total Grains/Cereals-Food Availability per capita-kg/cap/yr,Population-Total Population - Both Sexes-Million,Root Crops (R&T)-FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT-Conversion Rate,Root Crops (R&T)-Area Harvested-1000 Ha,Root Crops (R&T)-Yield-MT / Ha,Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Import Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Export Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Feed + Seed-Grain Equiv. 1000 MT,Root Crops (R&T)-Waste + Processed + OtherUtilization - Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Food Supply-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Area Harvested-1000 Ha,Other-Food Supply-Grain Equiv. 1000 MT / yr,Other-Food Supply-Grain Equiv. kg/cap/yr,Food Aid-Cereal Food Aid-Grain Equiv. 1000 MT,Food Aid-Total-Grain Equiv. 1000 MT,Food Aid-Non-Cereal Food Aid-Grain Equiv. 1000 MT
1980,Guinea,506.155,1.11664743,565.19668,2.601,311.3186748,130.2615749,39.49885311,70.6418595,171.392,61.35,357.951363,0.0,-71.68,27.95175,118.189,524.321,118.9745859,4.407,0.320336383,89.7,2.27056714,203.6698725,0.0,0.0,0.0,0.977025969,22.75829835,179.9345482,40.82925985,768.8665525,159.8038457,940.2585525,595.855,287.0493306,265.2784288,,,
1980,Guinea-Bissau,133.0,0.594090226,79.014,,,,,,29.249,5.641,192.8612944,0.0,12.942,5.832,9.867,105.897,126.8227545,0.835,0.310381044,9.0,1.724339134,15.51905221,0.12477318,0.040039155,0.0,0.0,1.555319412,14.04846682,16.82451116,94.53305221,143.6472657,123.9068254,142.0,35.0098161,215.6688117,,,
1980,Liberia,197.0,0.822746193,162.081,,1196.079048,859.22874,858.528729,621.9859844,99.208,38.698,390.0693492,0.831,2.663,8.512,20.398,240.322,124.9724389,1.923,0.295939076,50.2,2.03914993,102.3653265,0.324053289,0.0,0.0,0.0,1.374637009,101.3147428,52.68577367,264.4463265,177.6582126,363.9783798,247.2,63.66660079,244.140458,,,
1980,Mali,1332.975,0.693264202,924.10385,3.299,2473.815574,610.7732706,241.4080439,341.4043023,86.778,41.548,478.7849455,0.04,71.066,145.7853,91.39,855.116,118.0121446,7.246,0.288966203,5.625,1.338285964,7.527858549,0.223370875,0.0,0.0,0.0133,0.362941551,7.374995427,1.017802295,931.6317085,119.0299469,1018.633079,1338.6,292.9643873,182.4847718,,,
1980,Mauritania,111.847,0.390118644,43.6336,,1111.510996,781.5203757,663.3092954,732.2206826,165.947,34.9,210.3081104,0.0,-6.131,5.28832,9.342,189.802,125.0342556,1.518,0.270718232,2.02,0.763907883,1.543093923,0.812154696,0.0,0.0,0.0433,0.235524862,2.07640884,1.367858261,45.17669392,126.4021139,211.9358486,113.867,132.6472151,248.3935849,,,
1980,Niger,3880.373,0.454864339,1765.0433,4.886,2373.907943,905.0779208,583.6068107,404.3447356,89.545,33.338,372.3044279,40.0,-196.541,270.327,180.812,1173.565,199.8918413,5.871,0.435410183,25.03,3.119019013,78.06904588,0.0967,0.0,2.177050917,0.0218,5.849300404,72.29463603,12.31385386,1843.112346,212.2056951,1932.754007,3905.403,431.0677201,301.0665869,,,
1980,Nigeria,7165.0,1.036291696,7425.03,2.872,57031.88721,10947.92083,16753.21637,754.9592578,1827.6,593.85,324.9343401,0.0,12.857,1258.374,1100.286,7084.251,93.77772924,75.543,0.275024143,1780.5,2.640726062,4701.812753,0.0,0.0,0.0,1353.217793,1092.747928,2255.847032,29.86176127,12126.84275,123.6394905,13954.44275,8945.5,3872.751423,220.0070947,,,
1980,Senegal,1234.834,0.529952925,654.40389,-0.827,3964.387195,1595.047445,987.2992146,732.2473578,451.874,114.662,253.7477261,6.531,78.6,81.74471,119.681,1003.89,185.4248245,5.414,0.303585657,9.89,1.258545192,12.44701195,3.997312351,2.295411155,0.0,0.167882869,2.150904382,11.83042948,2.185155058,666.850902,187.6099796,1122.722214,1244.724,255.2987158,276.4721177,,,
1980,Sierra Leone,440.5,0.863271283,380.271,-0.56,1354.740309,344.5662609,172.52951,428.4441206,83.456,22.508,269.6990031,0.0,-13.671,44.815,46.883,381.968,120.799494,3.162,0.305143134,38.0,1.003760311,38.1428918,0.980119748,0.0,0.0,0.0,0.915429403,38.20758214,12.08335931,418.4138918,132.8828533,502.8500115,478.5,126.1156658,226.5862589,,,
1980,Togo,465.0,0.625214839,290.7249,-2.285,1451.676979,1356.131439,874.4446008,544.3108283,40.822,11.301,276.8360198,0.0,17.343,9.587,69.922,278.976,104.6029246,2.667,0.347814347,102.4,3.103696195,317.8184903,0.317206685,0.00696,0.0,20.27757646,47.70760716,250.1435571,93.79210991,608.5433903,198.3950345,649.682597,567.4,93.34326738,253.8539823,,,
